anchor_name,anchor_price,anchor_condition,target_name,target_price,expected_value
AK-47 | Breakthrough,16.72,(Battle-Scarred),AWP | The End,291.53,3.56
Glock-18 | Trace Lock,5.12,(Battle-Scarred),AWP | The End,291.53,15.16
AK-47 | Midnight Laminate,5.78,(Battle-Scarred),M4A1-S | Stratosphere,197.65,6.52
USP-S | Royal Guard,2.4,(Battle-Scarred),M4A1-S | Stratosphere,197.65,9.9
USP-S | Sleeping Potion,6.93,(Battle-Scarred),M4A1-S | Party Animal,178.09,3.71
Glock-18 | Glockingbird,1.94,(Battle-Scarred),AWP | Green Energy,157.79,6.97
M4A4 | Sheet Lightning,2.17,(Battle-Scarred),AWP | Green Energy,157.79,6.74
Desert Eagle | Mulberry,5.2,(Battle-Scarred),AK-47 | Nouveau Rouge,281.85,14.26
M4A1-S | Glitched Paint,4.75,(Battle-Scarred),AK-47 | Nouveau Rouge,281.85,14.71
USP-S | Bleeding Edge,3.91,(Battle-Scarred),AK-47 | Nouveau Rouge,281.85,15.55
Desert Eagle | Heat Treated,1.82,(Battle-Scarred),AK-47 | Aphrodite,376.46,25.68
M4A1-S | Solitude,1.92,(Battle-Scarred),AK-47 | Aphrodite,376.46,25.58
